term,count
US,377040
CA,41375
GB,21594
FR,10528
DE,8713
BR,6379
JP,4345
CO,4219
IT,3969
AU,2792
EU,2431
CN,2245
NL,2085
ES,1937
MX,1483
SE,1415
PT,1176
IN,945
AR,913
DK,899
