term,count
HUMIRA,27488
ENBREL,24677
OTEZLA,17537
PREDNISONE,16158
METHOTREXATE,14121
ASPIRIN,13455
TYLENOL,13430
ACETAMINOPHEN,12731
VITAMIN D3,11894
SYNTHROID,11663
CYMBALTA,10375
PREDNISONE.,10354
METFORMIN,10300
VITAMIN D,10227
AMLODIPINE,10183
TYSABRI,9786
CALCIUM,9269
LYRICA,9187
FOLIC ACID,9067
PANTOPRAZOLE,9065
